	G1	G2	G3	G4	G5	G6
2	12	13.17				
3	11.03	16.8	37.91			
4	13.91	16.8	37.91	20.65		
5	45.2	13.91	46.02	17.78	20.65	
6	30.75	18.03	46.02	22.59	45.2	11.37
