M_coa	M_co2	R_r1154	0.0
M_co2	M_coa	R_r1154	0.0
M_uri	M_dudp	R_r1156	0.0
M_dudp	M_uri	R_r1156	0.0
M_uri	M_ump	R_r1156	1.0
M_ump	M_uri	R_r1156	1.0
M_dutp	M_dudp	R_r1156	1.0
M_dudp	M_dutp	R_r1156	1.0
M_dutp	M_ump	R_r1156	0.0
M_ump	M_dutp	R_r1156	0.0
M_udpglcur	M_udp	R_UGT1A10r	0.6
M_udp	M_udpglcur	R_UGT1A10r	1.0
M_udpglcur	M_bilglcur	R_UGT1A10r	0.4
M_bilglcur	M_udpglcur	R_UGT1A10r	0.15384615384615385
M_bilirub	M_udp	R_UGT1A10r	0.0
M_udp	M_bilirub	R_UGT1A10r	0.0
M_bilirub	M_bilglcur	R_UGT1A10r	1.0
M_bilglcur	M_bilirub	R_UGT1A10r	0.8461538461538461
M_akg	M_glu_L	R_3HKYNAKGAT	1.0
M_akg	M_42A3HP24DB	R_3HKYNAKGAT	0.0
M_hLkynr	M_glu_L	R_3HKYNAKGAT	0.0
M_hLkynr	M_42A3HP24DB	R_3HKYNAKGAT	1.0
M_3dpdhb_me	M_2dp6mep	R_DPHMBDCm	0.9827586206896551
M_3dpdhb_me	M_co2	R_DPHMBDCm	0.017241379310344827
M_o2	M_h2o2	R_5HXKYNOXDA	NaN
M_o2	M_nh4	R_5HXKYNOXDA	NaN
M_o2	M_46dhoxquin	R_5HXKYNOXDA	NaN
M_5hxkynam	M_h2o2	R_5HXKYNOXDA	0.0
M_5hxkynam	M_nh4	R_5HXKYNOXDA	0.0
M_5hxkynam	M_46dhoxquin	R_5HXKYNOXDA	1.0
M_ctp	M_cdpchol	R_CHLPCTD	1.0
M_ctp	M_ppi	R_CHLPCTD	0.0
M_cholp	M_cdpchol	R_CHLPCTD	1.0
M_cholp	M_ppi	R_CHLPCTD	0.0
M_nad	M_3mox4hoxm	R_3MOX4HOXPGALDOX	0.0
M_nad	M_nadh	R_3MOX4HOXPGALDOX	1.0
